Doc,NormalizedTF
D1,0
D3,0
D12,0
D15,0
D18,0
D19,0
D25,0
D31,0
D33,0
D35,0
D39,0.173913043
D40,0
D45,0.033333333
D48,0
D49,0.043478261
D50,0
D51,0
D55,0
D58,0
D63,0.083333333
D65,0
D67,0
D69,0.083333333
D75,0
D76,0
D81,0
D83,0
D86,0
D87,0
D90,0
D106,0
D108,0
D111,0
D118,0
D119,0
D126,0
D130,0
D131,0
D134,0.058823529
D150,0.0625
D152,0
D158,0
D161,0
D166,0
D174,0
D179,0
D183,0
D186,0
D188,0
D193,0.04
D194,0
D199,0
D200,0
D201,0
D202,0.026315789
D204,0
D212,0
D221,0
D227,0
D232,0
D236,0
D239,0.024390244
D244,0
D245,0
D246,0.037037037
D247,0.061538462
D250,0.115384615
D251,0.043478261
D252,0
D260,0
D261,0
D263,0
D265,0.1
D266,0.047619048
D267,0
D270,0
D272,0.038961039
D273,0.045454545
D274,0
D275,0.148148148
D276,0.045454545
D277,0
D278,0.083333333
D279,0
D281,0
D287,0.095238095
D288,0
D291,0.073170732
D294,0
D295,0.04
D296,0.117647059
D300,0.083333333
D304,0.064516129
D306,0
D308,0
D318,0
D319,0
D321,0.083333333
D324,0.023809524
D325,0
D326,0
D330,0
D331,0.133333333
D332,0
D333,0
D334,0
D335,0
D336,0
D340,0
D341,0
D343,0.076923077
D345,0
D346,0
D347,0.133333333
D348,0
D349,0
D350,0.02
D351,0
D352,0.176470588
D356,0.05
D358,0
D360,0
D362,0.117647059
D363,0
D364,0.176470588
D365,0.111111111
D366,0.014925373
D367,0.032258065
D370,0
D375,0
D376,0
D379,0
D380,0.0625
D381,0
D382,0
D383,0
D384,0
D386,0
D389,0.05
D391,0.126984127
D392,0.06
D393,0
D395,0.055555556
D396,0.107142857
D401,0
D402,0.029411765
D403,0.017857143
D404,0
D405,0.076923077
D406,0
D407,0
D408,0
D409,0.038461538
D411,0
D413,0
D414,0.084745763
D415,0.095238095
D418,0
D419,0.230769231
D420,0
D421,0
D422,0.071428571
