Doc,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D1,18,1,1,2,1,1,0,0,0,0,2,1,0.4625,99.265,10.74596669,1.501644778,2.746666667,11.64444444,3.885555556
D3,11,0,6,5,0,1,0,0,0,0,2,0,0.375,103.3790909,3,1.821655818,0.340909091,4.4,1.572727273
D12,29,0,2,5,2,1,0,0,0,0,2,1,0.28125,66.54482759,10.74596669,3.657046724,9.473793103,14.35862069,11.18206897
D15,49,3,3,12,3,2,1,0,0,0,6,5,1.310416667,50.05510204,15.24744871,6.514793163,21.42938776,23.68163265,18.45061224
D18,32,3,8,9,2,1,1,0,1,0.25,4,3,-0.5,95.0425,10.74596669,4.037817344,11.2021875,15.3,7.9525
D19,11,0,2,4,0,0,0,0,0,0,0,3,-1.625,134.1427273,8.477225575,-0.851003727,-1.8,8.036363636,-2.718181818
D25,20,0,2,5,0,1,1,0,0,0,7,0,1.635416667,85.015,8.477225575,5.94524345,7.1745,10,6.37
D31,21,1,3,6,0,3,1,0,1,-0.475,1,2,-0.390625,104.9485714,3,0.429830905,3.2,8.4,3.838095238
D33,45,3,12,9,1,2,0,0,0,0,8,5,0.12202381,97.24,8.477225575,1.181253889,15.2,18.88888889,10.87555556
D35,41,0,6,10,3,3,1,0,0,0,6,3,0.421875,62.04926829,12.48683298,5.562849024,16.76121951,19.32682927,14.7902439
D39,23,4,5,12,0,0,2,4,0,0,3,1,0.479166667,106.2465217,10.74596669,1.574928304,5.019130435,12.67826087,4.153913043
D40,12,1,1,5,0,0,0,0,2,-0.75,0,2,-0.25,152.355,3,-3.076795583,-3.2625,4.8,-5.01
D45,30,0,6,7,2,1,1,1,0,0,5,1,-0.136458333,91.785,3,3.204446733,9.584,12,7.91
D48,14,0,7,6,1,0,1,0,0,0,2,0,0.59375,89.89642857,3,3.925265429,3.064285714,5.6,4.198571429
D49,23,1,3,6,1,2,1,1,0,0,1,3,-0.270833333,80.49869565,3,5.153968043,7.886086957,9.2,7.745217391
D50,9,4,8,6,0,0,0,0,0,0,0,0,0,169.5,3,3.124490889,0.863333333,3.6,-8.146666667
D51,14,0,2,5,1,1,1,0,0,0,1,3,-0.53125,101.9821429,3,0.985339929,0.709285714,5.6,2.512857143
D55,13,1,3,3,0,2,0,0,1,-0.525,1,1,-0.025,115.5476923,3,0.015100615,-0.437692308,5.2,0.372307692
D58,11,0,1,4,1,0,0,0,0,0,2,0,0.5625,103.3790909,3,1.821655818,0.340909091,4.4,1.572727273
D63,12,0,2,3,0,1,0,1,0,0,0,1,-0.25,131.205,3,-1.606832833,-2.085,4.8,-2.06
D65,13,0,13,5,0,1,0,0,0,0,1,0,0.677631579,128.5630769,3,3.181174231,2.098461538,5.2,-1.443076923
D67,7,1,3,4,0,0,0,0,1,0.25,0,1,-0.125,163.4728571,3,-6.587898857,-7.164285714,2.8,-7.802857143
D69,24,0,7,2,0,2,0,2,0,0,2,0,0.3375,101.4,3,1.09593325,5.0925,9.6,5.078333333
D75,42,2,5,5,3,0,0,0,0,0,6,3,0.766666667,57.44785714,13.95445115,5.474179976,17.17642857,20.60952381,15.68047619
D76,21,0,2,7,2,0,0,0,0,0,2,2,0.333333333,100.92,8.477225575,2.669774143,4.994285714,10.3047619,4.4
D81,20,0,1,3,0,2,0,0,0,0,1,3,-0.375,106.165,3,3.59330305,5.2905,8,3.42
D83,28,3,4,9,1,1,1,0,1,0.25,2,2,-0.375,93.815,3,2.672012536,8.213928571,11.2,7.13
D86,20,0,3,8,0,1,1,0,0,0,1,1,-0.041666667,80.785,8.477225575,5.35725835,6.7035,10,6.96
D87,28,0,3,6,0,2,1,0,0,0,2,1,0.025,84.75071429,3,4.351969964,9.559642857,11.2,8.394285714
D90,30,0,2,5,0,2,1,0,1,-0.375,2,2,-0.308333333,86.145,3,3.204446733,9.584,12,8.696666667
D106,39,0,6,10,0,2,1,0,0,0,1,4,-1.083333333,58.78846154,10.74596669,10.87985246,20.05,17.65128205,14.74820513
D108,14,1,5,10,0,0,0,0,0,0,0,1,-0.125,71.76785714,12.48683298,12.32505257,9.792857143,14.17142857,6.727142857
D111,18,1,9,7,0,0,1,0,1,-0.475,2,1,-0.375,141.565,3,46.58050244,38.85666667,7.2,-2.014444444
