title,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D1,18,1,1,2,1,1,0,0,0,0,2,1,0.4625,89.865,10.74596669,1.501644778,2.746666667,11.64444444,5.196666667
D2,8,0,2,2,0,0,0,0,0,0,0,0,0,177.565,3,-9.20947475,-9.1875,3.2,-9.52
D3,11,0,6,4,0,1,0,0,0,0,2,0,0.375,103.3790909,3,1.821655818,0.340909091,4.4,1.572727273
D4,3,0,0,0,0,0,0,0,0,0,0,0,0,203.79,3,-17.82342933,-13.65,1.2,-14.42
D5,5,0,1,2,0,0,0,0,0,0,0,0,0,201.76,3,-5.2546772,-5.742,2,-13.64
D6,26,0,6,4,3,2,0,0,0,0,3,1,0.3125,95.845,3,1.379221038,6.243461538,10.4,6.35
D7,20,2,4,11,2,0,1,0,1,0.25,0,2,-0.3125,127.315,8.477225575,8.5911764,9.294,10,0.47
D8,12,0,3,2,0,1,0,0,0,0,0,2,-0.375,110.055,3,2.803055417,1.4475,4.8,0.89
D9,10,0,1,2,0,1,0,0,0,0,1,0,0.25,95.165,8.477225575,3.5839018,1.468,8,2.47
D10,16,0,5,4,1,1,0,0,0,0,3,0,0.625,90.1325,3,3.296960188,3.349375,6.4,4.6625
D11,26,2,9,9,0,1,1,0,0,0,3,0,1.12202381,102.3526923,8.477225575,4.092998423,8.417307692,11.93846154,5.442307692
D12,29,0,2,4,2,1,0,0,0,0,2,1,0.28125,72.37931034,10.74596669,3.657046724,9.473793103,14.35862069,10.36827586
D13,24,0,4,6,0,0,0,0,0,0,4,1,0.6875,94.35,3,3.055883583,6.6625,9.6,6.061666667
D14,6,0,3,0,1,0,0,0,1,0.4375,0,0,0,130.245,8.477225575,-3.092464333,-4.3,9.066666667,-3.416666667
D15,49,3,3,11,3,2,1,0,0,0,6,5,1.310416667,53.50816327,15.24744871,6.514793163,21.42938776,23.68163265,17.96897959
D16,6,0,4,2,0,0,0,0,0,0,0,0,0,87.945,8.477225575,1.8074115,-0.375,9.066666667,2.483333333
D17,12,1,2,5,0,1,0,1,0,0,3,2,-0.25,124.155,3,1.82308025,0.6625,4.8,-1.076666667
D18,32,3,8,9,2,1,1,0,1,0.25,4,3,-0.5,95.0425,10.74596669,4.037817344,11.2021875,15.3,7.9525
D19,11,0,2,3,0,0,0,0,0,0,0,3,-1.625,134.1427273,8.477225575,-0.851003727,-1.8,8.036363636,-2.718181818
D20,8,0,3,3,0,0,0,0,0,0,1,0,0.125,71.815,3,6.9601155,3.765,3.2,5.23
D21,40,2,9,9,4,0,4,0,3,-0.125,6,1,2.53125,77.405,12.48683298,4.6269776,15.526,19,12.4
D22,23,0,5,9,1,1,0,0,0,0,1,1,-0.078125,102.5682609,8.477225575,3.108802478,6.247826087,10.93913043,4.666956522
D23,23,0,2,6,1,1,1,0,0,0,6,2,0.519345238,91.53347826,3,3.108802478,6.247826087,9.2,6.206086957
D24,21,0,3,6,2,1,0,0,0,0,6,1,1.020833333,88.83428571,10.74596669,3.789745762,5.891428571,12.20952381,6.085714286
D25,20,0,2,4,0,1,1,0,0,0,7,0,1.635416667,85.015,8.477225575,5.94524345,7.1745,10,6.37
D26,29,0,3,8,4,1,1,1,0,0,4,3,0.529904306,81.13103448,8.477225575,3.454293241,9.31137931,12.97931034,9.147586207
D27,30,2,5,10,1,1,0,0,1,-0.375,2,3,0.03125,103.065,3,1.048501367,7.857,12,6.336666667
D28,19,0,3,8,1,1,0,0,0,0,3,0,0.5,58.42368421,10.74596669,7.708703947,8.149473684,11.81052632,9.830526316
D29,26,0,6,4,2,2,0,0,0,0,5,2,0.3375,79.57576923,10.74596669,3.866850308,8.236153846,13.47692308,8.619230769
D30,13,0,2,5,0,1,0,0,0,0,1,2,0.0625,83.00923077,3,7.704136538,5.721538462,5.2,4.910769231
D31,21,1,3,5,0,3,1,0,1,-0.475,1,2,-0.390625,104.9485714,3,0.429830905,3.2,8.4,3.838095238
D32,21,3,4,3,2,1,0,0,1,-0.375,6,1,1.914583333,108.9771429,8.477225575,0.70982381,3.424285714,10.3047619,3.276190476
D33,45,3,12,8,1,2,0,0,0,0,8,5,0.12202381,93.48,8.477225575,1.181253889,15.2,18.88888889,11.4
D34,18,0,2,3,2,2,0,1,0,0,4,0,1.448464912,113.365,3,-1.111622333,0.653333333,7.2,1.918888889
D35,41,0,6,9,3,3,1,0,0,0,6,3,0.421875,64.11268293,12.48683298,5.562849024,16.76121951,19.32682927,14.50243902
D36,18,0,3,4,0,0,1,1,0,0,1,3,-1.0625,99.265,8.477225575,2.808278333,3.793333333,9.422222222,3.885555556
